Type,p-value,HR,Lower,Upper,NA
ACC,0.257360178169711,1.54539063898095,0.727650408603569,3.28211487111399,OS
BLCA,0.375418903092276,0.874224148977847,0.649437624421176,1.1768148840117,OS
BRCA,0.300524372537969,0.845358339319452,0.61506425030876,1.16187978979139,OS
CESC,0.783718423175208,0.937139142769972,0.589473795124339,1.48985379871957,OS
CHOL,0.168603929116846,2.02144913667854,0.74216676696589,5.50584692559564,OS
COAD,0.212288746987099,0.779458921624566,0.526939082696301,1.15299136171741,OS
DLBC,0.854711093080019,0.875862923430087,0.211977391830743,3.61895131369496,OS
ESCA,0.394583559369672,1.23823586498869,0.757092732358242,2.0251522591803,OS
GBM,0.511420084630333,1.12722366640384,0.788434404344038,1.61159024403312,OS
HNSC,0.132244989308735,1.22809252468633,0.939829445428808,1.60477122367912,OS
KICH,0.281593089817517,2.14172341204458,0.535410545993631,8.56721857278176,OS
KIRC,0.000287142913102629,1.77405440124626,1.30141590137244,2.41834221885732,OS
KIRP,0.777281660390699,0.917317657606914,0.504450472013313,1.66809574307471,OS
LAML,0.0369408146707514,1.57179801210997,1.02778721836116,2.40375531699277,OS
LGG,0.767587761499432,1.05477483632665,0.740567061071023,1.50229467907864,OS
LIHC,0.0139011097961099,1.55652397783606,1.09407467570716,2.21444381025694,OS
LUAD,0.00343588991136026,1.56156097171491,1.15849739874028,2.10485813005256,OS
LUSC,0.443387870543097,0.899238103152813,0.685375482299721,1.1798338094158,OS
MESO,0.816188637766973,1.05710138228497,0.661866860603448,1.68835063204397,OS
OV,0.0569061908954428,0.777068108839297,0.599377267905705,1.00743701522908,OS
PAAD,0.272693226604771,0.791407650062851,0.521022634537825,1.20210913511193,OS
PCPG,0.408137269024962,2.04716786845958,0.374875039666497,11.1794487181161,OS
PRAD,0.670832235905323,0.762394126124699,0.218191123719101,2.66392506552071,OS
READ,0.20216913909427,1.67310764034591,0.758618938209661,3.68998061502414,OS
SARC,0.525574734505599,1.13627686665235,0.765893845664412,1.68577554839763,OS
SKCM,0.0099196854339545,1.42738081239501,1.08912230315533,1.87069530914091,OS
STAD,0.385096208077837,0.864838090028706,0.62319141746286,1.20018488863267,OS
TGCT,0.760579859323053,0.731880076576824,0.0982909778446704,5.44961967248495,OS
THCA,0.469494595173506,1.44148227565368,0.535151019188291,3.88277528495676,OS
THYM,0.202765674846949,2.50333871606456,0.609936914118904,10.2743490060779,OS
UCEC,0.224299182552286,1.29505446491721,0.853449779976854,1.965160817251,OS
UCS,0.857483216639713,1.06376423983411,0.541812200872693,2.08853613138866,OS
UVM,0.0385154337982615,2.55487166777275,1.05082218229185,6.21167819711578,OS
